Facility,MP Name,Source Type,Current Use Five Year Average (MGY),Enddate,Latitude,Longitude
Indian Acres / Po River W&S,WELL #6,Well,2.73,2016,38.14166667,-77.55138889
BLUE RIDGE HGHTS SERVICE AREA,WELL #2,Well,0.83,2016,37.38916667,-79.80694444
STRATFORD PLACE SERVICE AREA,WELL #1,Well,0.00,2016,37.3725,-79.81861111
WINDY GAP SERVICE AREA,WELL #6,Well,2.64,2016,37.18333333,-79.88777778
RAINBOW FOREST SERVICE AREA,WELL #5,Well,13.53,2016,37.36083333,-79.85861111
LAKE LAND 'OR SERVICE AREA,WELL #12,Well,41.70,2016,99,-99
LAKE LAND 'OR SERVICE AREA,WELL #11,Well,3.75,2016,99,-99
SHAWNEE LAND UTILITIES CO,AREA 100 WELLS,Well,0.00,2016,39.19361111,-78.35083333
ELKTON PLANT,WELL #11,Well,120.57,2016,38.388258,-78.657162
Haynesville Correctional Center,"WELLS 2,3 and 4",Well,32.24,2016,37.95666667,-76.67277778
RIVER BEND COUNTRY CLUB,14TH HOLE BOUNDARY WELL,Well,0.00,2016,39.01861111,-77.285
SYDNOR - BRAXTON'S LANDING,WELL #1,Well,1.64,2016,0.1,0
SHERWOOD ESTATES SERVICE AREA,WELL #1,Well,0.76,2016,37.54583333,-77.19583333
Lemon Farm,Craig Creek,Surface Water Intake,0.00,2016,0,0
"Colonial Beach, Town of",4TH STREET WELL        #3,Well,101.99,2016,38.25888889,-76.97527778
FAIRFAX GOLF COURSE,WELL,Well,11.65,2016,38.85832,-77.27608
SPRING MEADOWS SERVICE AREA,WELL #1,Well,1.19,2016,37.61222222,-77.34583333
CULPEPER SERVICE AREAS,ASHMORE ACRES AND RIXEY RTREAT,Well,0.31,2016,38.56583333,-77.9875
LAKE WILDERNESS SERVICE AREA,WELL #8,Well,13.03,2016,0.1,0
JAMES RIVER EST SERVICE AREA,WELL #1A,Well,0.08,2016,37.58083333,-77.66416667
COLONIAL FOREST SERVICE AREA,WELL #1,Well,1.89,2016,37.6825,-77.3575
CULPEPER SERVICE AREAS,HERITAGE ESTATES WELLS ,Well,1.21,2016,38.46805556,-78.08194444
Bath County Regional Water System,Old Dairy Well,Well,28.31,2016,0,0
MAYFIELD FARMS SERVICE AREA,MAYFIELD WELL #2,Well,3.44,2016,37.6275,-77.38194444
LUTTRELLVILLE SERVICE AREA,WELL 1A,Well,2.70,2015,37.93888889,-76.58916667
BURGESS SERVICE AREA,WELL #2,Well,0.89,2015,37.86944444,-76.35416667
BON HARBOUR SERVICE AREA,WELL 1A,Well,1.24,2016,38.01722222,-76.53305556
BURNSIDE FARMS SERVICE AREA,BURNSIDE WELL #1,Well,0.00,2016,37.62638889,-77.39416667
Pooles Mobile Home Park,Artis Lane A (#1),Well,0.00,2016,37.10145523,-76.70079686
VIRGINIA HOT SPRINGS,CASCADES-CHAPLIN-MCALLISTER SPRINGS,Surface Water Intake,79.40,2016,37.95638889,-79.86555556
CHATMOSS COUNTRY CLUB,LAKE,Surface Water Intake,6.26,2016,36.65944444,-79.81166667
Newman South,WELL #2,Well,7.26,2014,37.351389,-75.914444
Fort A. P. Hill Water System,WILCOX WELL #1  PWAT22,Well,0.62,2016,38.09972222,-77.29194444
INDIAN RIVER SERVICE AREA,WELL #3,Well,7.39,2016,36.81722222,-76.22555556
ALTAVISTA SERVICE AREA,MCMINNIS SPRING,Surface Water Intake,99.01,2016,37.10194444,-79.35083333
Guilford Heights Subdivision,Well (DEQ well # 190-131),Well,0.84,2016,99,-99
BUCHANAN CO PSA SERVICE AREA,Kennal Gap Well,Well,26.24,2016,37.226136,-81.970769
BRIDGEWATER WTP,WELL 1,Well,0.00,2016,99,-99
KING GEORGE COUNTY WELL SYSTEM,PRESIDENTIAL LAKES  # 2,Well,0.00,2016,38.27083333,-77.21333333
KING GEORGE COUNTY WELL SYSTEM,BUMBREY WELL,Well,6.54,2016,38.34361111,-77.06972222
GOLDEN VALLEY DAIRY INC,SHENANDOAH RIVER  NE OF RT 640,Surface Water Intake,0.00,2016,38.39055556,-78.63055556
MILFORD SERVICE AREA,WELL #2 - REMOTE 640,Well,0.00,2016,38.02722222,-77.35805556
Center Pivot,FARM POND,Surface Water Intake,7.51,2016,36.97833333,-76.92361111
KING GEORGE COUNTY WELL SYSTEM,BAYBERRY WELL,Well,0.00,2016,38.34777778,-77.07111111
HOPEWELL PLANT,NORTH WELL #2,Well,23.31,2016,37.35416667,-77.28861111
VIRGINIA INTERNATIONAL RACEWAY,WELL 3,Well,0.63,2013,36.56472222,-79.20972222
FORK UNION SERVICE AREA,MORRIS WELL #1,Well,20.00,2016,37.78083333,-78.27111111
ELKTON PLANT,WELL  #6,Well,143.08,2016,38.389553,-78.651373
ELKTON PLANT,WELL  #5,Well,32.45,2016,38.389563,-78.651339
ELKTON PLANT,WELL  #8,Well,40.06,2016,0.03,0.01
ELKTON PLANT,WELL  #7,Well,192.13,2016,38.389534,-78.651439
Grain Crop,Gravel Pond,Surface Water Intake,20.32,2016,37.3605,-77.1172
NATURAL BRIDGE SERVICE AREA,ARNOLDS VALLEY WELL,Well,11.00,2016,37.6128072,-79.50073439
Hermitage Farms Nursery,D/E Pond,Surface Water Intake,9.86,2016,37.47083333,-75.87944444
NATURAL BRIDGE,NEW WALLACE HOLLOW WELL,Well,0.00,2016,37.64305556,-79.54388889
LANUM WTP,JAMES RIVER ,Surface Water Intake,0.00,2016,37.48055556,-79.18333333
RED WING LAKE GOLF COURSE,REDWING LAKE,Surface Water Intake,18.62,2016,36.79277778,-76.97138889
MARSH RUN MOBILE HOME PARK,WELL #3/BALL FIELD,Well,5.52,2016,38.55972222,-77.7525
BALLARD FARM,DUG POND #1,Well,0.00,2015,0.1,0
SOUTHAMPTON CORRECTIONAL CENTR,WELL #6,Well,8.09,2016,36.72444444,-77.24777778
PROCESSING PLANT,MSP WELL,Well,2.52,2016,36.97361111,-77.2416
STRATFORD HARBOR SERVICE AREA,WELL #12 CLUB,Well,8.60,2015,38.15972222,-76.79833333
LINVILLE PLANT,WELL #2,Well,5.11,2016,38.53271111,-78.83514127
Brink Concentrator Site System,SF-22,Well,0.98,2016,36.63937,-77.62405
MAPPSVILLE PLANT,HOUSING WELL #5,Well,0.03,2016,37.83638889,-75.58194444
Mappsville Facility & Labor Housing,HOUSE #10 WELL,Well,0.00,2014,37.83722222,-75.58361111
OCEANA PLANT Well #2,WELL #2      228-394,Well,1.73,2016,36.8375,-76.00638889
CAMPOSTELLA PLANT,WELL 217-095 Boiler Room,Well,7.58,2016,36.8425,-76.26388889
Placid Bay Estates,WELL #3,Well,7.97,2016,38.20083333,-76.97666667
Four winds Clubhouse and Campground,WELL #1 RESTAURANT 116-00051,Well,0.00,2016,38.239667,-77.260056
EVERGREEN SERVICE AREA,WELL #1,Well,3.69,2016,38.88194444,-77.65916667
OBSERVATORY HILL WTP,SUGAR HOLLOW RESERVOIR,Surface Water Intake,419.45,2016,38.13638889,-78.73888889
LINTON HALL SCHOOL,WELL #2,Well,1.98,2016,38.75194444,-77.56138889
CLOVERDALE - VISTA PARK,VISTA PARK WELL,Well,4.98,2014,37.35888889,-79.91305556
DALEVILLE SERVICE AREA,WELL #3,Well,10.43,2015,37.40972222,-79.91694444
SILVER BEACH FARM,DUG POND  SILVER BEACH,Well,0.00,2016,37.48027778,-75.95833333
SHENANDOAH VALLEY GOLF CLUB,WELL #1 #2 #3 #4  SAME METER,Well,13.92,2016,38.99444444,-78.12916667
Riverbend Nursery,LITTLE RIVER,Surface Water Intake,17.94,2016,37.01861111,-80.45416667
CEDAR BLUFF DAIRY,SMITH CREEK,Surface Water Intake,0.00,2016,38.67055556,-78.64611111
GRETNA WTP,Georges Creek,Surface Water Intake,49.49,2016,36.96055556,-79.36055556
GLASGOW SERVICE AREA,WELL #4,Well,56.40,2016,37.63333333,-79.44583333
LAKE PRINCE RESERVOIR,WELL #2,Well,3.77,2016,36.80222222,-76.63333333
BRYCE MOUNTAIN SERVICE AREA,NEW WELL P-3 AND P-3A,Well,8.22,2016,38.83124258,-78.74625647
BUTTERWOOD FARM,BUTTERWOOD CREEK,Surface Water Intake,0.36,2016,37.08222222,-77.79277778
Farms,Fitzgerald Tract Pond,Surface Water Intake,0.00,2015,99,-99
NSA NORTHWEST ANNEX,BLDG 299 WELL #10,Well,2.02,2016,36.56944444,-76.25222222
TOMS BROOK-MAURERTOWN SD,WELL #2A - TOMS BROOK,Well,18.96,2016,38.94262931,-78.43748548
PRINCE WILLIAM PUBLIC GOLF COURSE,POND #4,Surface Water Intake,7.51,2016,38.744502,-77.629971
HAMPDEN SYDNEY COLLEGE,WELL #7,Well,2.53,2016,37.23694444,-78.46638889
ALTAVISTA WTP,REED CREEK,Surface Water Intake,2.77,2016,37.10444444,-79.2825
APPOMATTOX (TOWN) SERVICE AREA,WELL #9,Well,0.00,2016,37.36472222,-78.82444444
DUNGADIN HEIGHTS SERVICE AREA,WELL #3,Well,1.80,2016,38.88615,-78.239233
APPOMATTOX (TOWN) SERVICE AREA,WELL #39,Well,1.74,2016,37.36638889,-78.82666667
APPOMATTOX (TOWN) SERVICE AREA,WELL #15,Well,0.00,2016,37.36194444,-78.82777778
SHENANDOAH (TOWN) SERVICE AREA,TRENTON STREET WELL,Well,51.23,2016,38.47833333,-78.60833333
STAFFORD PLANT,AQUIA CREEK,Surface Water Intake,0.00,2016,38.49027778,-77.45833333
GROTTOES SERVICE AREA,NEW WELL,Well,46.76,2016,38.26333333,-78.81527778
VAN DORN,BackLick Run Creek,Surface Water Intake,0.00,2016,0,0
MOUNT JACKSON SERVICE AREA,WELL #3,Well,16.45,2016,38.76292624,-78.6264138
THOMAS BR WATER CO SERVCE AREA,SF Holston Intake,Surface Water Intake,98.70,2016,36.77361111,-81.57694444
MONTEBELLO FISH STATION,SPRINGS,Surface Water Intake,145.30,2016,37.8425,-79.13138889
TEMPERANCEVILLE PLANT,WELL #2,Well,47.69,2016,37.88444444,-75.55888889
DILLWYN MULLITE PLANT,WELL #2,Well,0.21,2016,37.55535744,-78.44166667
LOUISA-MINERAL SERVICE AREA,INDUSTRIAL PARK WELL,Well,1.02,2016,38.01305556,-77.97388889
CHRISTIAN/AMES FARM,CHRISTIAN AMES FARM WELL  #4,Well,1.21,2016,37.606716,-75.806075
BUCHANAN (TOWN) SERVICE AREA,WELL #2 (NORTH),Well,8.81,2016,37.53666667,-79.68
HAMILTON SERVICE AREA,WELL #8,Well,2.23,2016,39.12944444,-77.67638889
Manassas,WELL,Well,0.00,2016,38.7575,-77.44972222
HAMILTON SERVICE AREA,WELL #11,Well,0.00,2016,39.13388889,-77.67138889
LAKE MEADOWBROOK,WELL 2,Well,2.45,2016,37.44777778,-77.46222222
SHANNON FOREST SERVICE AREA,WELL #2,Well,0.00,2012,37.15722222,-79.89972222
SPOTSYLVANIA QUARRY,NI RIVER,Surface Water Intake,1.01,2016,38.20555556,-77.56388889
WESTWOOD COUNTRY CLUB,WELL #1,Well,13.30,2016,38.91361111,-77.25527778
OAKMULGEE DAIRY,APPOMATTOX RIVER,Surface Water Intake,3.60,2016,37.48555556,-77.96805556
LAVERYs SOD FARM,ROANOKE RIVER,Surface Water Intake,1.67,2016,37.26694444,-80.13194444
WOODBRIDGE MOBILE HOME PARK,WELL #3,Well,0.47,2016,38.661456,-77.288681
Plane River Farm,MIDDLE RIVER-South,Surface Water Intake,4.72,2016,38.25966667,-78.8635
"W.T. HOLLAND & SONS, INC",FARM POND VAN,Surface Water Intake,8.08,2016,-99,-99
"W.T. HOLLAND & SONS, INC",FARM POND TUNNELL MILL,Surface Water Intake,7.49,2016,0.1,0
"W.T. HOLLAND & SONS, INC",DUG POND SMITH,Well,4.65,2016,0.1,0.1
GARY AND RHONDA GUTHRIE,FARM POND   #5862,Surface Water Intake,0.11,2016,37.01722222,-79.04055556
L TOM LEWIS,FARM POND,Surface Water Intake,0.00,2016,0.1,0
WINTERGREEN MTN SERVICE AREA,WELL #17,Well,0.96,2016,37.91583333,-78.94222222
Pacific Tomato Growers,KELLAM FARM WELL #1,Well,0.07,2016,37.37388889,-75.97444444
LK HOLIDAY ESTATE (THE SUMMIT),WELL #8,Well,22.92,2016,39.32308014,-78.3128046
CLOVERLAND,Broad Run,Surface Water Intake,0.80,2016,38.829,-77.668
REAMFORD FARMS,WEST CREEK,Surface Water Intake,0.00,2012,37.25666667,-77.9825
Pier IX/X Terminals,HW-1A South,Well,0.06,2016,36.97277778,-76.41872222
Princess Anne Country Club,Clubhouse Well,Well,0.08,2016,36.86486111,-75.98201389
Thomas Jefferson National Accelerator Facility,Sump #1 Collection Pit/Bldg 97,Well,0.51,2016,37.09277778,-76.48363889
Highway Farm,Well #4,Well,10.64,2016,37.38551111,-75.92446389
Drewryville,#1,Well,2.84,2016,36.71161111,-77.30408333
Northwest River/Western Branch Systems,NWR-1 (DEQ 234-220),Well,187.12,2016,36.59309722,-76.210425
Higgerson-Buchanan,Higgerson Buchanan #2,Well,0.29,2016,36.74926917,-76.28839061
Northwest River/Western Branch Systems,NWR-3 (DEQ 234-222),Well,123.47,2016,36.58495,-76.20356667
JCSA - Central System,LP #2-BGD #4 (DEQ 147-308),Well,395.70,2016,37.24648064,-76.76936814
Norfolk City of Nursery,Well #3,Well,0.03,2016,36.61005556,-76.19780556
Naval Security Activity Northwest,Bldg 298  Well #9,Well,1.71,2016,36.56872222,-76.25294444
Naval Security Activity Northwest,Bldg 297  Well #8,Well,2.41,2016,36.56861111,-76.25255556
Naval Security Activity Northwest,Bldg 368  Well C,Well,11.64,2016,36.56461111,-76.25697222
Greenbrier Farms Nursery,WI1,Well,0.00,2014,36.64694444,-76.24084167
INDEPENDENT SYSTEMS,COURTHOUSE WELL,Well,0.00,2016,36.90833333,-76.70972222
CHEASPEAKE WTP,NWR-2,Well,0.00,2015,36.59814,-76.208575
WILLIAMSBURG CAMPGROUNDS,WELL #1,Well,1.57,2016,37.38789167,-76.76844167
Hillsborough Farm,Well,Well,0.00,2015,37.563948,-75.840499
Tankard Farm,POND,Surface Water Intake,0.00,2015,37.702274,-75.680381
Rockahock Campground,"Well #7, Pool Well",Well,0.00,2016,37.40614019,-76.93554508
Suffolk Main System (G.ROBERT HOUSE WTP),PLANT WELL #2  (EDR),Well,191.12,2016,36.86305556,-76.575
Spring Creek Golf Club,Impoundment located on Camp Creek,Surface Water Intake,4.73,2016,38.00103,-78.1986
YAROS FARMS INC,Yaros Farm Davis Farm,Surface Water Intake,8.00,2013,99,-99
Spring Creek Golf Club,In Line Irrigation Lake on Spring Branch,Surface Water Intake,18.22,2016,37.99439444,-78.21106111
OAK SPRINGS Subdivision,#1A,Well,7.05,2016,37.77455556,-77.13805556
VARINA ON THE JAMES,JAMES RIVER,Surface Water Intake,47.03,2016,37.3948,-77.327025
Dreamland Homes,Well #13,Well,0.00,2016,37.72808333,-75.66263889
Dreamland Homes,Well #12,Well,0.00,2016,37.72788889,-75.66291667
Dreamland Homes,Well #11,Well,0.00,2016,37.72775,-75.66313889
Dreamland Homes,Well #10,Well,0.00,2016,37.72797222,-75.66330556
Dreamland Homes,Well #1,Well,0.00,2016,37.72819444,-75.66383333
Dreamland Homes,Well #2,Well,0.00,2016,37.72777778,-75.66333333
Pooles Mobile Home Park,Flowerdew Lane B (#2),Well,0.00,2016,37.10144639,-76.70092544
Rhodes Family Farm,MUDDY CREEK  ,Surface Water Intake,0.00,2016,38.44211,-78.98185
STAUNTON WTP,GARDNER SPRING,Surface Water Intake,607.93,2016,38.16861111,-79.0175
BERKELEY PLANTATION,FARM POND,Surface Water Intake,0.01,2016,37.32388889,-77.17944444
LURAY CAVERNS COUNTRY CLUB,S FORK SHENANDOAH RIVER,Surface Water Intake,19.07,2016,38.67583333,-78.51305556
SEVEN SPRINGS FARMS INC,FARM POND 7 #3876,Surface Water Intake,0.00,2016,36.896,-78.055
Pigeon Creek Prep Plant,Creek Pump,Surface Water Intake,5.28,2016,36.97216667,-82.78047222
Turner Tract,Turner Tract Well #1,Well,0.00,2016,36.65728056,-76.97039722
Riverside Shore Rehabilitation Center,Well #3,Well,0.00,2016,37.75928056,-75.62249167
Dreamland Homes,Well #8,Well,0.00,2016,37.72797222,-75.66355556
GRAINFIELD FARM,Pamunkey River - ML3,Surface Water Intake,3.38,2016,37.698761,-77.212317
Gibson Mill Subdivision,Well 1,Well,0.55,2016,38.48232,-78.0453
COE FARM,BIG POND,Surface Water Intake,0.21,2016,37.154899,-77.52188
IBM CONTAMINATON WELLS,WELL D-28,Well,0.00,2016,38.7575,-77.49916667
SMALL SYSTEMS,MECHANICSVILLE GARDENS WELL #1,Well,0.00,2016,-99,-99
CHEASPEAKE WTP,NWR-4,Well,0.00,2015,36.5792083,-76.2015805
LAKE GASTON AMERICAMPS,TWO WELL,Well,0.62,2016,36.56277778,-78.41222222
Laurel Hills Golf Club,Lake,Surface Water Intake,39.98,2016,38.71727,-77.24877
SYDNOR - small well systems,DINWIDDE COURTHOUSE WELL #1,Well,0.00,2012,0.1,0
EDGEHILL SERVICE AREA,Well #2,Well,0.00,2016,36.71583,-76.94183
BRANCHVILLE SERVICE AREA,Bryant Ave Boykins #2,Well,0.00,2016,36.5825,-77.1938
Rappahannock Community College-Glenns Campus,Well @ Glenns Campus,Well,0.27,2016,99,-99
SMALL SYSTEMS,CHURCHFIELDS WELL #1,Well,0.61,2016,-99,-99
APPLE TREE VILLAGE S3/STEEPLEC,WELL#12  CAROLYN DRIVE,Well,14.80,2016,37.35444444,-79.90666667
AVONDALE-HANOVER SERVICE AREA,AVONDALE WELL #1,Well,7.27,2016,37.65472222,-77.36194444
Brink Concentrator Site System,RDM-41,Well,10.11,2016,37,77
BELMONT GOLF COURSE,IRRIGATION WELLS,Well,1.30,2016,37.61111111,-77.4625
Brink Concentrator Site System,GLR-40,Well,1.32,2016,36.65263,-77.62678
STRASBURG PLANT,AGGREGATE WELL #5,Well,0.00,2016,39.01910618,-78.33400309
Fort A. P. Hill Water System,WILCOX WELL #3  PWAT43,Well,5.06,2016,38.10194444,-77.29027778
INDIAN RIVER SERVICE AREA,WELL #4,Well,8.28,2016,36.81888889,-76.22416667
INDIAN RIVER SERVICE AREA,WELL #5,Well,2.25,2016,36.81944444,-76.225
HANOVER FARMS SERVICE AREA,WELL #2,Well,1.81,2016,37.57972222,-77.29583333
Riverside Tappahannock Hospital,WELL 128-040,Well,3.69,2016,37.90027778,-76.87888889
LAKE LAND 'OR SERVICE AREA,WELL #8,Well,4.34,2016,99,-99
Greenbrier Farms Nursery,SQ2,Well,0.00,2014,36.64917778,-76.22779167
Greenbrier Farms Nursery,SQ1,Well,0.00,2014,36.64891111,-76.22751944
Greenbrier Farms Nursery,GB9,Well,0.00,2014,36.64807778,-76.22529167
Greenbrier Farms Nursery,GB8,Well,0.00,2014,36.64807778,-76.22529167
Greenbrier Farms Nursery,GB7,Well,0.00,2014,36.64166944,-76.23002222
Greenbrier Farms Nursery,GB6,Well,0.00,2014,36.64166944,-76.23002222
Northwest River/Western Branch Systems,NWR-4 (DEQ 234-223),Well,105.23,2016,36.57920833,-76.20158056
Cahoon Plantation,Well #4,Well,0.00,2014,36.72166667,-76.29916667
Cahoon Plantation,Well #3,Well,0.00,2014,36.72166667,-76.29805556
Cahoon Plantation,Well #2,Well,0.00,2014,36.72194444,-76.29722222
Cahoon Plantation,Well #1,Well,0.00,2014,36.7225,-76.29583333
Indian River Water Company,#2A,Well,9.90,2016,36.81625,-76.22583333
Fort Eustis,#5 Duck Pond (Bldg 439),Well,0.00,2016,37.16647222,-76.60536111
Null Facility for Orphaned Wells,N Irrigation #1,Well,0.00,2014,37.13194444,-76.51055556
"Continental Automotive Systems US, Inc.",NE #2 Pond - Irrigation,Well,0.00,2016,37.13223056,-76.50779444
"Continental Automotive Systems US, Inc.",NE #1 Pond - Irrigation,Well,0.00,2016,37.13194444,-76.50834167
"Continental Automotive Systems US, Inc.",SW #2 - Front Irrigation,Well,0.00,2016,37.12861111,-76.51180556
James River Country Club,Well #9 (DEQ 216-00052),Well,0.26,2016,37.05694444,-76.50527778
James River Country Club,Well #8  (DEQ 216-00051),Well,0.03,2016,37.05638889,-76.50583333
Newport News City of Waterworks Lee Hall,Lee Hall #2b Middle Potmc (DEQ 216-41),Well,0.56,2016,37.18677778,-76.57016667
Newport News City of Waterworks Lee Hall,Lee Hall #1b Middle Potmc (DEQ 216-40),Well,157.64,2016,37.17838889,-76.58819722
Dominion Terminal Associates,GW2,Well,22.60,2016,36.96642222,-76.41918056
James River Country Club,Well #5 (DEQ 216-00028),Well,0.00,2016,37.05666667,-76.50166667
James River Country Club,Well #2 - Deep ,Well,0.00,2015,37.05666667,-76.5025
James River Country Club,Well #1 - Deep ,Well,0.00,2015,37.05722222,-76.50277778
Fort Eustis,Well #4 Bldg 3901 - Range,Well,0.00,2014,37.11266667,-76.58408333
Fort Eustis,Well #3 Bldg 2516 - Stand By,Well,0.00,2014,37.15238889,-76.57658333
Fort Eustis,#1 A & B Pool (Bldg 1132),Well,0.00,2016,37.14608333,-76.57172222
Rip Rap Road Ready Mix Plant Well 1 2 and 3,#1 (Water Bldg),Well,0.00,2016,37.03375,-76.35247222
Bethel Landfill,PS3 - Underdrain Sump,Well,0.00,2016,37.0795,-76.44327778
Bethel Landfill,Phase 2 Underdrain Sump,Well,0.00,2014,37.08011111,-76.44113889
Williamsburg Country Club,#97 Lower Lake Rplnsh,Well,0.55,2016,37.24230556,-76.64075
Williamsburg Pottery Factory,NW-1,Well,0.15,2016,37.34783333,-76.75061111
Williamsburg Pottery Factory,CG-2,Well,0.38,2016,37.34841667,-76.74577778
Combined Skimino Banbury and Lightfoot Systems,Banbury #3,Well,0.02,2016,37.36552778,-76.72130556
Combined Skimino Banbury and Lightfoot Systems,Lightfoot #1,Well,68.34,2016,37.35511111,-76.74097222
Stony Creek Town of Municipal Water Supply System,Well #8,Well,0.00,2016,36.94377778,-77.40013889
Stony Creek Town of Municipal Water Supply System,Well #7,Well,9.47,2016,36.947,-77.39191667
Stony Creek Town of Municipal Water Supply System,Well #5,Well,11.31,2016,36.94666667,-77.39344444
Smithfield Hog Production Farms 19 & 20,20-B,Well,0.07,2016,36.98925,-77.19369444
Smithfield Hog Production Farm 18,18-A,Well,0.67,2016,36.98419444,-77.16802778
Smithfield Hog Production Farm 15,15-A,Well,0.56,2016,36.90016667,-77.08672222
Smithfield Hog Production Farm 12,12-B,Well,0.12,2016,37.00336111,-77.03338889
Null Facility for Orphaned Wells,Courthouse Well,Well,2.88,2014,36.91437222,-77.28236111
Northeastern Regional Water System,PW-1,Well,40.46,2016,37.04944444,-77.19944444
Waverly Town of Municipal Water Supply System,Well #3,Well,27.45,2016,37.0325,-77.10944444
Chippokes Plantation State Park,Historic Area #3,Well,0.68,2016,37.13963889,-76.72269444
Smithfield Hog Production Farms 16 & 17,17-B,Well,4.64,2016,37.12291667,-77.07669444
Smithfield Hog Production Farms 16 & 17,17-A,Well,0.18,2016,37.12283333,-77.07688889
Smithfield Hog Production Farms 16 & 17,16-B,Well,3.14,2016,37.12488889,-77.068
Smithfield Hog Production Farms 16 & 17,16-A,Well,0.85,2016,37.12491667,-77.06775
"Smithfield Hog Production Farms 9,10 & 21",21-B,Well,0.94,2016,37.10833333,-77.04083333
"Smithfield Hog Production Farms 9,10 & 21",21-A,Well,3.53,2016,37.10827778,-77.04105556
"Smithfield Hog Production Farms 9,10 & 21",10-B,Well,0.88,2016,37.11272222,-77.03316667
Claremont Town of Water System,Well #4 - River Rd 1995,Well,4.23,2016,37.2225,-76.95166667
Surry Power Station,Well G - Abandoned,Well,0.00,2014,37.16062092,-76.69336303
Surry Power Station,Well E - Abandoned,Well,14.84,2015,37.16410169,-76.69881589
Chippokes Plantation State Park,Visitors Center #2 ,Well,2.81,2016,37.14583333,-76.74055556
Surry Power Station,Well CS ,Well,1.46,2016,37.16630488,-76.69443434
Surry Town of,Edwards Well/Rt.10 ,Well,12.69,2016,37.13333333,-76.84722222
Surry Town of,Davis Well/Rt. 626,Well,1.25,2016,37.14166667,-76.84111111
Turner Tract,Turner Tract #1,Well,3.82,2016,36.65728056,-76.97039722
Smithfield Hog Production Farms 6-8,8-B,Well,0.89,2016,36.86222222,-77.03966667
Smithfield Hog Production Farms 6-8,7-A,Well,0.43,2016,36.86419444,-77.03341667
Smithfield Hog Production Farms 6-8,6-B,Well,4.67,2016,36.85563889,-77.038
Valley Proteins Incorporated Emporia Plant,#2 - Potable Well,Well,2.77,2016,36.67973882,-77.40427477
Null Facility for Orphaned Wells,Drinking Water Well,Well,0.00,2014,36.65298333,-77.00071944
VDOC -Southampton Correctional Complex,Well #10,Well,20.17,2016,36.72883333,-77.24316667
White Tail Park,#1 (White Tail),Well,2.13,2016,36.8889,-76.84096944
AEC Virginia,New Well #1,Well,11.00,2016,36.58686111,-77.20444444
VDOC -Southampton Correctional Complex,Well #9,Well,2.36,2016,36.73615556,-77.25401944
VDOC -Southampton Correctional Complex,Well #7,Well,5.26,2016,36.71541944,-77.25990556
Scottswood Subdivision Water System,Well 3,Well,4.83,2016,36.70638889,-76.98140833
Scottswood Subdivision Water System,Well 4,Well,4.41,2016,36.70638889,-76.98167222
Sedley Water Company,#1,Well,5.48,2016,36.77530556,-76.98241667
Agri-Business Industrial Park,#1,Well,1.13,2016,36.68515278,-77.0253
SMALL SYSTEMS,MARYFIELD  WELL #1A,Well,0.55,2016,-99,-99
LEASED BY RAYMOND DAVIS,WELL FILLS POND FOR IRRIGATION,Well,2.06,2016,36.77666667,-77.08
Waterfront Sec. 1 & 11,SECTION I WELL #4,Well,0.00,2016,37.10527778,-79.66916667
Waterfront 2-9,SECTION II WELL #3,Well,0.00,2016,37.10111111,-79.65277778
Waterfront 2-9,SECTION II WELL #4,Well,0.00,2016,37.09972222,-79.65444444
EASTERN SHORE NURSERY OF VA.,DUG POND 2 - Jerry's Pond,Well,6.82,2016,37.6379581,-75.7702564
"24784 James Monroe Hwy, Aldie VA 20105",WELL                LOUDOUN CO,Well,0.00,2012,38.93306,-77.62215
Lake Kilby Water Treatment Facility,LAKE KILBY,Surface Water Intake,0.44,2016,36.72916667,-76.60277778
GRAINFIELD FARM,PAMUNKEY RIVER - ML 7 & 8 (Manskin),Surface Water Intake,10.77,2016,37.68527778,-77.20944444
CLAYPOOL HILL WTP,LITTLE RIVER,Surface Water Intake,163.85,2016,37.02638889,-81.79027778
Lake Kilby Water Treatment Facility,LAKE MEADE,Surface Water Intake,4866.36,2016,36.73194444,-76.60472222
VISTA POINTE,WELL #1 AND #2,Well,0.42,2016,37.03694444,-79.58833333
HALL FARMS INC,FARM POND,Surface Water Intake,0.00,2016,0.1,0
DIASCUND RESERVOIR,DIASCUND RESERVOIR,Surface Water Intake,3487.22,2016,37.42972222,-76.89388889
LIGHTFOOT WATER SUPPLY SYS,LIGHTFOOT #1,Well,35.09,2016,37.35527778,-76.74055556
GLENVAR PLANT,ROANOKE RIVER,Surface Water Intake,5.39,2016,37.270669,-80.131163
GORE PLANT,BACK CREEK,Surface Water Intake,0.00,2016,39.25416667,-78.33888889
NiceView Farm,POND,Surface Water Intake,3.86,2016,37,77
Grazeland Dairy,Beaver Creek,Surface Water Intake,46.78,2016,38.427422,-79.038439
STRAWHORNE SERVICE AREA,STRAWHORNE WELL,Well,2.19,2016,37.64611111,-77.33527778
CAPE CHARLES PLANT,WELL #4 ICE HOUSE,Well,0.00,2012,37.26,-76.02333333
BASSETT PLANT,SMITH RIVER-BASSETT TABLE,Surface Water Intake,0.00,2012,36.75916667,-79.99333333
I-85 DINWIDDIE REST AREA SB/NB,SOUTHBOUND WELL,Well,1.31,2016,37.10194444,-77.54416667
YAGLE NURSERY INC.,WELL,Well,0.83,2016,37.22138889,-80.21944444
